rank,Consignee Name,City,State,Ultimate Parent,Domain,Apollo-ready,Shipments,TEU,VALUE(usd)
246,O2 Cool Llc,Chicago,Illinois,"Maurice Sporting Goods, Inc.",maurice.net,Y,136,240.9,5545466.13
247,Stark Carpet Corp.,Calhoun,Georgia,Stark Carpet Corporation,starkcarpet.com,Y,351,232.8,11686618.44
248,Gemmy Industries Corp.,Coppell,Texas,Gemmy Industries Corporation,gemmy.com,Y,42,232.5,3190106.85
249,Bear Down Brands Llc,Huntington Beach,California,"Bear Down Brands, Llc",pureenrichment.com,Y,75,227.2,5437329.18
250,Creative Brands,,New York,"Cbc Group, Inc.",autom.com,Y,86,220.0,3588562.31
251,Sauder Woodworking,Archbold,Ohio,Sauder Woodworking Co.,sauder.com,Y,101,217.0,11709458.97
252,The Singing Machine Co. Inc.,,,"Algorhythm Holdings, Inc.",singingmachine.com,Y,61,211.2,9956227.16
253,T3 Micro Inc.,Venice,California,T3 Micro Inc.,t3micro.com,Y,84,209.2,4499654.96
254,Bia Cordon Bleu Inc.,Galt,California,"B.I.A. Cordon Bleu, Inc.",biacordonblu.com,Y,92,207.8,4807030.75
255,Momeni Inc.,Carlstadt,New Jersey,"Momeni, Inc.",momeni.com,Y,258,207.6,7847310.05
256,Restoration Hardware,Corte Madera,California,Rh,rh.com,Y,32,202.1,1950979.81
257,Adven Group Inc.,,,"Adven Group, Llc",adven.com,Y,51,200.9,9220411.66
258,Forestal Alfa Sa De Cv,Durango,Durango,"Forestal Alfa, S.A. De C.V.",forestalalfa.com.mx,Y,11,200.0,9045014.58
259,Metglas Inc.,Conway,South Carolina,"Bcj 52 Co., Ltd.",,N,48,200.0,32641267.34
260,Shure Inc.,El Paso,Texas,Shure Incorporated,shure.com,Y,216,198.0,8861924.14
261,Tabletops Unlimited Inc.,Carson,California,"Tabletops Unlimited, Inc.",tabletopsunltd.com,Y,79,197.1,3573074.12
262,Vesture Corp,Burbank,California,Vesture Corporation,microcoretechnology.com,Y,142,196.4,6819784.31
263,Nurturen Inc.,,,Nurture N Inc,nurtureand.com,Y,64,196.0,2172357.86
264,Carrier Interamerica Corporation,Miami,Florida,"Watsco, Inc.",watsco.com,Y,72,195.1,5882454.39
265,Aver Information Inc.,Fremont,California,A Ver Information Inc.,aver.com,Y,62,195.0,25875290.76
266,Mvp Group Corp.,,Connecticut,"Mvp Group International, Inc.",mvpgroupint.com,Y,96,194.6,5818518.77
267,Marshall Pottery Inc.,Marshall,Texas,Marshall Pottery Inc.,deromausa.myshopify.com,Y,100,193.6,8998499.95
268,Dundas Jafine Inc.,,,Dundas Jafine Inc,dundasjafine.com,Y,95,193.0,2725381.51
269,Express Homes,Phoenix,Arizona,Express Homes Inc.,impresamodular.com,Y,97,193.0,3591285.58
270,The Metal Ware Corp.,Two Rivers,Wisconsin,The Metal Ware Corporation,nesco.com,Y,77,189.3,4680927.92
271,Canarm Ltd.,Laval,Québec,Canarm Ltd.,canarm.com,Y,102,188.8,6642453.94
272,Ce North America Llc Puerto Rico,,,"Cem Global, Llc",,N,109,188.1,3712954.41
273,The Howard Elliott Collection,Addison,Illinois,"The Howard Elliott Collection, Inc.",howardelliott.com,Y,208,187.5,1910923.11
